#Inds	chromosome_Z
RO_MG_724	1
PT_ML_1469	2
PL_MG_1466	1
IT_MG_1465	1
GB_MG_1688	2
FR_ML_1957	2
FR_ML_1947	2
FR_ML_1943	2
FR_ML_1934	2
FR_ML_1936	2
FR_ML_1924	2
FR_ML_1949	2
FR_ML_1911	2
FR_ML_1880	2
FR_ML_1878	2
FR_ML_1869	2
FR_ML_1845	2
FR_ML_1835	2
FR_ML_1825	2
FR_MG_1812	1
FR_MG_1781	1
FR_MG_1804	2
FR_MG_1733	2
FR_MG_1795	1
FR_MG_1813	2
FR_MG_1761	1
FR_MG_1956	1
FR_MG_1739	2
ES_ML_1471	2
ES_ML_1137	2
ES_ML_1136	1
FR_MG_1752	2
FR_MG_1732	2
ES_ML_1470	1
FR_ML_1882	2
FR_MG_1788	2
ES_ML_1140	1
FR_MH_1839	2
ES_MG_1467	2
FR_ML_1699	2
FR_MG_1279	1
FR_MG_1712	1
FR_MG_1731	1
FR_MG_1826	2
FR_MH_1939	2
FR_MG_1849	2
FR_MG_1797	2
FR_MG_1865	2
FR_MG_1866	2
FR_ML_1886	2
FR_ML_1860	2
FR_MG_1900	2
FR_MG_1960	2
FR_MG_1730	2
FR_MG_1873	2
FR_MG_1891	2
FR_MG_1884	2
FR_MG_1890	2
FR_MG_1808	2
FR_MG_1903	2
FR_ML_1941	2
FR_MG_1896	2
FR_ML_1468	1
FR_ML_1940	2
FR_ML_1918	2
FR_MG_1959	2
FR_MG_1893	2
FR_MG_1962	2
FR_MG_1961	2
FR_MH_1937	2
ES_MG_411	2
FR_MH_1938	2
GB_MG_1689	2
FR_ML_1695	2
